,Time,Score
856,a month ago,5
857,a month ago,4
858,a month ago,5
859,a month ago,5
860,a month ago,5
861,a month ago,5
862,a month ago,5
863,a month ago,5
864,a month ago,4
865,a month ago,4
866,a month ago,5
867,a month ago,5
868,a month ago,5
869,a month ago,4
870,a month ago,5
871,a month ago,5
872,a month ago,5
873,a month ago,5
874,a month ago,5
875,a month ago,4
876,a month ago,5
877,a month ago,5
878,a month ago,1
879,a month ago,5
880,a month ago,5
881,a month ago,4
882,a month ago,5
883,a month ago,4
884,a month ago,5
885,a month ago,5
886,a month ago,5
887,a month ago,5
888,a month ago,5
889,a month ago,5
890,a month ago,5
891,a month ago,5
892,a month ago,5
893,a month ago,1
894,a month ago,5
895,a month ago,5
896,a month ago,5
897,a month ago,5
898,a month ago,5
899,a month ago,5
900,a month ago,5
901,a month ago,5
902,a month ago,5
903,a month ago,5
904,a month ago,4
905,a month ago,5
906,a month ago,5
907,a month ago,5
908,a month ago,5
909,a month ago,5
910,a month ago,5
911,a month ago,5
912,a month ago,5
913,a month ago,2
914,a month ago,5
915,a month ago,5
916,a month ago,5
917,a month ago,5
918,a month ago,5
919,a month ago,5
920,a month ago,5
921,a month ago,5
922,a month ago,4
923,a month ago,4
924,a month ago,5
925,a month ago,5
926,a month ago,5
927,a month ago,5
928,a month ago,1
929,a month ago,5
930,a month ago,5
931,a month ago,5
932,a month ago,5
933,a month ago,5
934,a month ago,5
935,a month ago,2
936,a month ago,3
937,a month ago,4
938,a month ago,5
939,a month ago,5
940,a month ago,5
941,a month ago,4
942,a month ago,2
943,a month ago,1
944,a month ago,4
945,a month ago,5
946,a month ago,5
947,a month ago,5
948,a month ago,5
949,a month ago,5
950,a month ago,5
951,a month ago,5
952,a month ago,4
953,a month ago,5
954,a month ago,5
955,a month ago,5
956,a month ago,5
957,a month ago,5
958,a month ago,4
959,a month ago,5
960,a month ago,5
961,a month ago,5
962,a month ago,5
963,a month ago,5
964,a month ago,5
965,a month ago,5
966,a month ago,4
967,a month ago,5
968,a month ago,5
969,a month ago,2
970,a month ago,4
971,a month ago,5
972,a month ago,1
973,a month ago,5
974,a month ago,4
975,a month ago,5
976,a month ago,5
977,a month ago,5
978,a month ago,5
979,a month ago,4
980,a month ago,5
981,a month ago,5
982,a month ago,5
983,a month ago,5
984,a month ago,5
985,a month ago,4
986,a month ago,5
987,a month ago,3
988,a month ago,4
989,a month ago,5
990,a month ago,5
991,a month ago,4
992,a month ago,4
993,a month ago,5
994,a month ago,5
995,a month ago,5
996,a month ago,5
997,a month ago,5
998,a month ago,5
999,a month ago,4
1000,a month ago,4
1001,a month ago,5
1002,a month ago,5
1003,a month ago,4
1004,a month ago,5
1005,a month ago,5
1006,a month ago,5
1007,a month ago,4
1008,a month ago,5
1009,a month ago,5
